lookup_name,lookup_name_norm,drug_category,lookup_type,match_pattern,source,nomor_registrasi,zat_aktif
GLYXAMBI,GLYXAMBI,antidiabetes,product,EMPAGLIFLOZIN | LINAGLIPTIN,curated_rule,DKI1952503917A1 | DKI2124200517A1 | DKI2424200717A1,EMPAGLIFLOZIN | EMPAGLIFLOZIN. LINAGLIPTIN | LINAGLIPTIN
GOFEN,GOFEN,nsaid,product,IBUPROFEN,curated_rule,DKI2360600202A1,IBUPROFEN
GOFEX,GOFEX,nsaid,product,IBUPROFEN,curated_rule,DKI2360600202A1,IBUPROFEN
GOFLEX,GOFLEX,nsaid,product,NABUMETONE,curated_rule,DKL9508003117A1,NABUMETONE
GORED,GORED,antidiabetes,product,GLICLAZIDE,curated_rule,DKL9402318810A1,GLICLAZIDE
GRACIVASK 10,GRACIVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL1035306910B1,AMLODIPINE BESILATE
GRACIVASK 5,GRACIVASK 5,ccb,product,AMLODIPINE,curated_rule,DKL1035306910A1,AMLODIPINE BESILATE
GRADIAB 500,GRADIAB 500,antidiabetes,product,METFORMIN,curated_rule,DKL9804215010A1,METFORMIN HYDROCHLORIDE
GRAFAMIC,GRAFAMIC,nsaid,product,MEFENAMIC,curated_rule,DKL9231103304A1,MEFENAMIC ACID
GRAFIX,GRAFIX,nsaid,product,MEFENAMIC,curated_rule,DKL0435300509A1,MEFENAMIC ACID
GRASA-300,GRASA 300,antikonvulsan,product,GABAPENTIN,curated_rule,DKL2535314301A1,GABAPENTIN
GRATHEOS,GRATHEOS,nsaid,product,DICLOFENAC,curated_rule,DKL9231103415A1,DICLOFENAC SODIUM
GRAVASK 10,GRAVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL0831113810B1,AMLODIPINE BESILATE
GRAVASK 5,GRAVASK 5,ccb,product,AMLODIPINE,curated_rule,DKL0831113810A1,AMLODIPINE BESILATE
GRAZEO 10,GRAZEO 10,nsaid,product,PIROXICAM,curated_rule,DKL9431104110A1,PIROXICAM
GRAZEO 20,GRAZEO 20,nsaid,product,PIROXICAM,curated_rule,DKL9431104110B1,PIROXICAM
HAMMER PIM,HAMMER PIM,nsaid,product,ACETYLSALICYLIC,curated_rule,LKE16189001,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE
HAMMER PIM,HAMMER PIM,xantin,product,CAFFEINE,curated_rule,LKE16189001,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE
HARPARIN,HARPARIN,antikoagulan,product,HEPARIN,curated_rule,DKL2207927043A1,HEPARIN SODIUM
HARVASK - 10,HARVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL2540102104A1,AMLODIPINE BESILATE
HEPAGUSAN,HEPAGUSAN,antikoagulan,product,HEPARIN,curated_rule,DTL2022258628A1,HEPARIN SODIUM
HEPARIN,HEPARIN,antikoagulan,active_alias,HEPARIN,curated_rule,,HEPARIN
HEPARIN SODIUM,HEPARIN SODIUM,antikoagulan,product,HEPARIN,curated_rule,GKL1731539143A1 | GKL2133551643A1 | GKL2207927143A1 | GKL2332409643A1,HEPARIN SODIUM
HEPARINOL,HEPARINOL,antikoagulan,product,HEPARIN,curated_rule,DKI1745400143A1,HEPARIN SODIUM
HEPROCAP,HEPROCAP,antikoagulan,product,HEPARIN,curated_rule,DKL2232409543A1 | DTL2232408728A1,HEPARIN SODIUM
HERBESSER,HERBESSER,ccb,product,DILTIAZEM,curated_rule,DKI1334200144B1,DILTIAZEM HYDROCHLORIDE
HERBESSER CD 100,HERBESSER CD 100,ccb,product,DILTIAZEM,curated_rule,LKE22252002,DILTIAZEM HYDROCHLORIDE
HERBESSER CD 200,HERBESSER CD 200,ccb,product,DILTIAZEM,curated_rule,LKE22252003,DILTIAZEM HYDROCHLORIDE
HEXAVASK 10,HEXAVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL1028405010A1 | DKL2108520510B1,AMLODIPINE BESILATE
HEXAVASK 5,HEXAVASK 5,ccb,product,AMLODIPINE,curated_rule,DKL2108520510A1,AMLODIPINE BESILATE
HEXCAM 15,HEXCAM 15,nsaid,product,MELOXICAM,curated_rule,DKL1008516410A1,MELOXICAM
HICO,HICO,antikoagulan,product,HEPARIN,curated_rule,DTL0509215128A1,HEPARIN SODIUM
HOLIMOL,HOLIMOL,xantin,product,CAFFEINE,curated_rule,DBL9917108904A1,CAFFEINE. PARACETAMOL
HOTIN DCL,HOTIN DCL,nsaid,product,DICLOFENAC,curated_rule,DTL1526204228A1,DICLOFENAC DIETHYLAMINE
HOTIN DCL ZERO,HOTIN DCL ZERO,nsaid,product,DICLOFENAC,curated_rule,DTL2526204528A1,DICLOFENAC DIETHYLAMINE
HUFAGRIPP TMP,HUFAGRIPP TMP,nsaid,product,IBUPROFEN,curated_rule,DTL0607808833A1,IBUPROFEN
HUFAPROFEN,HUFAPROFEN,nsaid,product,IBUPROFEN,curated_rule,DTL0607808833A1,IBUPROFEN
HUFAXICAM,HUFAXICAM,nsaid,product,MELOXICAM,curated_rule,DKL0707810904B1 | DKL1107810904A1,MELOXICAM
HUMALOG KWIKPEN,HUMALOG KWIKPEN,antidiabetes,product,INSULIN,curated_rule,DKI2288802943A1 | DKI2488803343A1,INSULIN LISPRO
HUMALOG MIX25 KWIKPEN,HUMALOG MIX25 KWIKPEN,antidiabetes,product,INSULIN,curated_rule,DKI2288803043A1 | DKI2488803243A1,INSULIN LISPRO
HUMALOG MIX50 KWIKPEN,HUMALOG MIX50 KWIKPEN,antidiabetes,product,INSULIN,curated_rule,DKI2288803043B1 | DKI2488803243B1,INSULIN LISPRO
HYPERIL,HYPERIL,ace_arb,product,RAMIPRIL,curated_rule,DKL0305033810B1 | DKL0305033810C1 | DKL0605033810D1,RAMIPRIL
HYZAAR,HYZAAR,ace_arb,product,LOSARTAN,curated_rule,LKE13066003 | LKE13066005 | LKE22066209,LOSARTAN POTASSIUM. HYDROCHLOROTHIAZIDE
IBROSIC,IBROSIC,nsaid,product,IBUPROFEN,curated_rule,DTL1307122033A1,IBUPROFEN
IBUPROFEN,IBUPROFEN,nsaid,active_alias,IBUPROFEN,curated_rule,,IBUPROFEN
IBUPROFEN,IBUPROFEN,nsaid,product,IBUPROFEN,curated_rule,GKL0401802017B1 | GKL0833209817A1 | GKL0934008817B1 | GKL1416702809A1 | GKL1810906804A1 | GKL1817112733A1 | GKL2025805210A1 | GKL2025908410A1 | GKL2034012933B1 | GKL2121028909A1 | GKL2225806304A1 | GKL2316010509B1 | GKL2358400417A1 | GKL2433558317B1 | GKL2510403510A1 | GKL2517633933B1 | GKL2606423104A1 | GKL2613717043A1 | GKL9628908010A1 | GKL9907110710A1 | GKL9909211409A1 | GKL9917107009A1 | GTL0401802017A1 | GTL0934008817A1 | GTL1307121933A1 | GTL1422722733A1 | GTL1422722733A2 | GTL1523413433A1 | GTL1641600133A1 | GTL1702356033A1 | GTL1717112233A1 | GTL1809610233A1 | GTL1907923733A1 | GTL2034012933B1 | GTL2134301010A1 | GTL2316010509A1 | GTL2433558317A1 | GTL2458400533A1 | GTL2515636933A1 | GTL2517633933A1 | GTL2533220233A1 | GTL9907111310A1,IBUPROFEN
IBUPROFEN SODIUM DIHYDRATE,IBUPROFEN SODIUM DIHYDRATE,nsaid,product,IBUPROFEN,curated_rule,GKL2405067943A1,IBUPROFEN SODIUM DIHYDRATE
IFEN 400,IFEN 400,nsaid,product,IBUPROFEN,curated_rule,DKL8511603717A1,IBUPROFEN
IKALEP,IKALEP,antikonvulsan,product,VALPROATE,curated_rule,DKL1309321937A1,SODIUM VALPROATE
IKAPHEN,IKAPHEN,antikonvulsan,product,PHENYTOIN,curated_rule,DKL0809319643A1 | DKL9509310901B2,PHENYTOIN SODIUM
IKAQUIX,IKAQUIX,antibiotik_fluorokuinolon,product,LEVOFLOXACIN,curated_rule,DKL1209320649A1,LEVOFLOXACIN HEMIHYDRATE
IMIDAPRIL,IMIDAPRIL,ace_arb,active_alias,IMIDAPRIL,curated_rule,,IMIDAPRIL
IMIDAPRIL HYDROCHLORIDE,IMIDAPRIL HYDROCHLORIDE,ace_arb,product,IMIDAPRIL,curated_rule,GKL2033549610A1 | GKL2333549610B1,IMIDAPRIL HYDROCHLORIDE
IMIDAVELL,IMIDAVELL,ace_arb,product,IMIDAPRIL,curated_rule,DKL2033549710A1 | DKL2333549710B1,IMIDAPRIL HYDROCHLORIDE
IMURAN,IMURAN,imunosupresan,product,AZATHIOPRINE,curated_rule,DKI2159300117A1,AZATHIOPRINE
INACID,INACID,antibiotik_fluorokuinolon,product,LEVOFLOXACIN,curated_rule,DKL0420930717A1,LEVOFLOXACIN HEMIHYDRATE
INACID 500,INACID 500,antibiotik_fluorokuinolon,product,LEVOFLOXACIN,curated_rule,LKE24209019,LEVOFLOXACIN HEMIHYDRATE
INASTAN,INASTAN,nsaid,product,MEFENAMIC,curated_rule,DKL2120943104A1,MEFENAMIC ACID
INFELD,INFELD,nsaid,product,PIROXICAM,curated_rule,DTL9917615928A1 | LKE16176012,PIROXICAM
INFELD 20,INFELD 20,nsaid,product,PIROXICAM,curated_rule,DKL9017602201B1,PIROXICAM
INFIMOX,INFIMOX,antibiotik_fluorokuinolon,product,MOXIFLOXACIN,curated_rule,DKL1740810409A1,MOXIFLOXACIN HYDROCHLORIDE
INFLAM 50,INFLAM 50,nsaid,product,DICLOFENAC,curated_rule,DKL9804309517B1,DICLOFENAC POTASSIUM
INFLASIC 50,INFLASIC 50,nsaid,product,DICLOFENAC,curated_rule,DKL2220944515A1,DICLOFENAC SODIUM
INFUXACIN,INFUXACIN,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL2240816149A1,CIPROFLOXACIN LACTATE
INHITRIL,INHITRIL,ace_arb,product,LISINOPRIL,curated_rule,DKL9802325410A1 | DKL9802325410B1,LISINOPRIL DIHYDRATE
INPIROX,INPIROX,nsaid,product,PIROXICAM,curated_rule,DKL1920941201A1,PIROXICAM
INSIC,INSIC,nsaid,product,IBUPROFEN,curated_rule,DTL9917108633A1,IBUPROFEN
INSIC FORTE,INSIC FORTE,nsaid,product,IBUPROFEN,curated_rule,DKL1817112633A1,IBUPROFEN
INSULIN,INSULIN,antidiabetes,active_alias,INSULIN,curated_rule,,INSULIN
INSULIN GLARGINE,INSULIN GLARGINE,antidiabetes,product,INSULIN,curated_rule,GKL2311648043A1 | GKL2311648043A2,INSULIN GLARGINE
INTERDOXIN 100,INTERDOXIN 100,antibiotik_tetrasiklin,product,DOXYCYCLINE,curated_rule,DKL7817608801B1,DOXYCYCLINE HYCLATE
INTERDOXIN 50,INTERDOXIN 50,antibiotik_tetrasiklin,product,DOXYCYCLINE,curated_rule,DKL7817608801A1,DOXYCYCLINE HYCLATE
INTERFLOX 500,INTERFLOX 500,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL9317608209A1,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
INTERPRIL 10,INTERPRIL 10,ace_arb,product,LISINOPRIL,curated_rule,DKL9317608310B1,LISINOPRIL | LISINOPRIL DIHYDRATE
INTERPRIL 5,INTERPRIL 5,ace_arb,product,LISINOPRIL,curated_rule,DKL9317608310A1,LISINOPRIL | LISINOPRIL DIHYDRATE
INTERVASK 10,INTERVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL0717622110B1,AMLODIPINE BESILATE
INTERVASK 5,INTERVASK 5,ccb,product,AMLODIPINE,curated_rule,DKL0717622110A1,AMLODIPINE BESILATE
INTORVAS,INTORVAS,statin,product,ATORVASTATIN,curated_rule,DKL1740809209A1 | DKL1740809217A1,ATORVASTATIN CALCIUM TRIHYDRATE
INVICLOT,INVICLOT,antikoagulan,product,HEPARIN,curated_rule,DKL9631512343A1,HEPARIN SODIUM
INZANA,INZANA,nsaid,product,ACETYLSALICYLIC,curated_rule,DBL7813003663A1,ACETYLSALICYLIC ACID
INZANA IBP,INZANA IBP,nsaid,product,IBUPROFEN,curated_rule,DTL2113028233A1,IBUPROFEN
IPROX,IPROX,nsaid,product,IBUPROFEN,curated_rule,DKL2333557058A1,IBUPROFEN
IPROX FORTE,IPROX FORTE,nsaid,product,IBUPROFEN,curated_rule,DKL1933525733B1 | DTL1933525733B1,IBUPROFEN
