food_id,nutrition_key,food_name,source,status
265,Daun Koro,Daun Koro,nutrition1_indonesia,AVAILABLE
266,Daun kubis segar,Daun kubis segar,nutrition1_indonesia,AVAILABLE
267,Daun Kumak,Daun Kumak,nutrition1_indonesia,AVAILABLE
268,Daun Labu Siam,Daun Labu Siam,nutrition1_indonesia,AVAILABLE
269,Daun Labu Waluh,Daun Labu Waluh,nutrition1_indonesia,AVAILABLE
270,Daun lamtoro segar,Daun lamtoro segar,nutrition1_indonesia,AVAILABLE
271,Daun leilem segar,Daun leilem segar,nutrition1_indonesia,AVAILABLE
272,Daun Leunca,Daun Leunca,nutrition1_indonesia,AVAILABLE
273,Daun Lobak,Daun Lobak,nutrition1_indonesia,AVAILABLE
274,Daun Lompong Tales,Daun Lompong Tales,nutrition1_indonesia,AVAILABLE
275,Daun Mangkokan,Daun Mangkokan,nutrition1_indonesia,AVAILABLE
276,Daun matel ambon segar,Daun matel ambon segar,nutrition1_indonesia,AVAILABLE
277,Daun Melinjo,Daun Melinjo,nutrition1_indonesia,AVAILABLE
278,Daun Mengkudu Kukus,Daun Mengkudu Kukus,nutrition1_indonesia,AVAILABLE
279,Daun ndusuk segar,Daun ndusuk segar,nutrition1_indonesia,AVAILABLE
280,Daun Oyong,Daun Oyong,nutrition1_indonesia,AVAILABLE
281,Daun oyong segar,Daun oyong segar,nutrition1_indonesia,AVAILABLE
282,Daun Pakis,Daun Pakis,nutrition1_indonesia,AVAILABLE
283,Daun pakis longgiho segar,Daun pakis longgiho segar,nutrition1_indonesia,AVAILABLE
284,Daun pakis segar,Daun pakis segar,nutrition1_indonesia,AVAILABLE
285,Daun pakis wambateu segar,Daun pakis wambateu segar,nutrition1_indonesia,AVAILABLE
286,Daun paku segar,Daun paku segar,nutrition1_indonesia,AVAILABLE
287,Daun pangisegar,Daun pangisegar,nutrition1_indonesia,AVAILABLE
288,Daun pare segar,Daun pare segar,nutrition1_indonesia,AVAILABLE
289,Daun pepaya segar,Daun pepaya segar,nutrition1_indonesia,AVAILABLE
290,Daun Pete Cina,Daun Pete Cina,nutrition1_indonesia,AVAILABLE
291,Daun Poh-pohan,Daun Poh-pohan,nutrition1_indonesia,AVAILABLE
