Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
DTL1624504037A1,ACTIFED,ACTIFED,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE TRIPROLIDINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1624504037A1,ACTIFED,ACTIFED,TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1624504037A1,ACTIFED,ACTIFED,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE,TRIPROLIDINE HYDROCHLORIDE PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1624504137A1,ACTIFED PLUS COUGH SUPRESSANT,ACTIFED PLUS COUGH SUPRESSANT,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE,TRIPROLIDINE HYDROCHLORIDE PSEUDOEPHEDRINE HYDROCHLORIDE DEXTROMETHORPHAN HYDROBROMIDE,no_curated_drug_category_match
DTL1624504237A1,ACTIFED PLUS EXPECTORANT,ACTIFED PLUS EXPECTORANT,GUAIFENESIN,GUAIFENESIN,no_curated_drug_category_match
DTL1624504237A1,ACTIFED PLUS EXPECTORANT,ACTIFED PLUS EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1624504237A1,ACTIFED PLUS EXPECTORANT,ACTIFED PLUS EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE. GUAIFENESIN,PSEUDOEPHEDRINE HYDROCHLORIDE TRIPROLIDINE HYDROCHLORIDE GUAIFENESIN,no_curated_drug_category_match
DTL1624504237A1,ACTIFED PLUS EXPECTORANT,ACTIFED PLUS EXPECTORANT,TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1624504237A1,ACTIFED PLUS EXPECTORANT,ACTIFED PLUS EXPECTORANT,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. GUAIFENESIN,TRIPROLIDINE HYDROCHLORIDE PSEUDOEPHEDRINE HYDROCHLORIDE GUAIFENESIN,no_curated_drug_category_match
DKI2452504344A1,ACTILYSE,ACTILYSE,ALTEPLASE,ALTEPLASE,no_curated_drug_category_match
DKI9052500344A1,ACTILYSE,ACTILYSE,ALTEPLASE,ALTEPLASE,no_curated_drug_category_match
DKI2153900317A1,ACTONEL ONCE-A-MONTH,ACTONEL ONCE A MONTH,RISEDRONATE SODIUM,RISEDRONATE SODIUM,no_curated_drug_category_match
DKI2153900417A1,ACTONEL ONCE-A-WEEK,ACTONEL ONCE A WEEK,RISEDRONATE SODIUM,RISEDRONATE SODIUM,no_curated_drug_category_match
DKL1928917029A1,ACYCLOR,ACYCLOR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL0433510110B1,ACYCLOVIR,ACYCLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL1500915729A1,ACYCLOVIR,ACYCLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
LKE14055077,ACYCLOVIR,ACYCLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
LKE15055090,ACYCLOVIR TABLET,ACYCLOVIR TABLET,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
LKE15055091,ACYCLOVIR TABLET,ACYCLOVIR TABLET,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DTL2513031901A1,ACYMEX,ACYMEX,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
DKI2571100143A1,ADAFIMAB,ADAFIMAB,ADALIMUMAB,ADALIMUMAB,no_curated_drug_category_match
