Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,drug_category,match_pattern,match_type,source
GKL2043004343A1,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
GKL2113714843A1,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
GKL2118833843A1,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
GKL2213324543A1,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
GKL2240815717A1,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL1918832743A1,DEXPROFEN,DEXPROFEN,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL2018833117A1,DEXPROFEN,DEXPROFEN,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL2040813843A1,DEXTO,DEXTO,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL2040814117A1,DEXTO,DEXTO,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL1504523243A1,DEXTOFEN,DEXTOFEN,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,nsaid,DEXKETOPROFEN,token_substring,curated_rule
DKL0808514910A1,DIABIT,DIABIT,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1919934014A1,DIAFAC XR,DIAFAC XR,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1418827406A1,DIAFORMIN XR,DIAFORMIN XR,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
